,Week,Team,Player,Slot,Pos,Status,Proj,Actual
0,1,1,Clyde Edwards-Helaire,2,RB,ACTIVE,15.254842435000002,19.8
1,1,1,Aaron Jones,2,RB,ACTIVE,15.269672265000002,17.6
2,1,1,DJ Moore,4,WR,OUT,15.0284888437,9.4
3,1,1,Cooper Kupp,4,WR,ACTIVE,14.1164742209,8.0
4,1,1,A.J. Brown,4,WR,QUESTIONABLE,13.6627075167,8.9
5,1,1,Todd Gurley II,23,Flex,QUESTIONABLE,15.555941065,13.700000000000001
6,1,1,DeVante Parker,20,Bench,ACTIVE,12.446415299,8.7
7,1,1,Darren Waller,6,TE,ACTIVE,13.238925492,10.5
8,1,1,Russell Wilson,0,QB,ACTIVE,19.810872411,31.78
9,1,1,Diontae Johnson,20,Bench,ACTIVE,11.666725657099999,9.7
10,1,1,Mecole Hardman,20,Bench,ACTIVE,7.2354375803,1.6
11,1,1,Greg Zuerlein,17,K,ACTIVE,7.532354497,4.0
12,1,1,Patriots D/ST,16,Def,NA,8.085523503,13.0
13,1,1,Antonio Gibson,20,Bench,DOUBTFUL,12.379694643,6.3999999999999995
14,1,1,Boston Scott,20,Bench,ACTIVE,14.042092426,7.4
15,1,2,Julio Jones,4,WR,QUESTIONABLE,16.410018439799998,24.700000000000003
16,1,2,Joe Mixon,2,RB,INJURY_RESERVE,15.265844103000001,6.1000000000000005
17,1,2,Lamar Jackson,0,QB,ACTIVE,22.574497264999998,27.5
18,1,2,Adam Thielen,4,WR,ACTIVE,15.7296659247,31.0
19,1,2,Keenan Allen,4,WR,ACTIVE,13.7749300548,7.7
20,1,2,Zach Ertz,6,TE,ACTIVE,12.507015452000001,10.8
21,1,2,Cam Akers,20,Bench,ACTIVE,9.962714075,5.300000000000001
22,1,2,Will Fuller V,23,Flex,SUSPENSION,13.475328630000002,19.200000000000003
23,1,2,J.K. Dobbins,20,Bench,ACTIVE,8.270111382,14.2
24,1,2,CeeDee Lamb,20,Bench,ACTIVE,10.0066190626,10.9
25,1,2,Kerryon Johnson,20,Bench,QUESTIONABLE,9.870320079999997,1.4000000000000001
26,1,2,N'Keal Harry,20,Bench,ACTIVE,9.007912065800001,6.9
27,1,2,Tarik Cohen,2,RB,INJURY_RESERVE,10.883821493,6.700000000000001
28,1,2,Zane Gonzalez,17,K,ACTIVE,7.418340887,6.0
29,1,2,Colts D/ST,16,Def,NA,7.740436833,6.0
30,1,3,Michael Thomas,4,WR,QUESTIONABLE,20.283074364,4.7
31,1,3,Patrick Mahomes,0,QB,ACTIVE,23.305588874999998,20.439999999999998
32,1,3,Tyreek Hill,4,WR,QUESTIONABLE,16.8124393036,15.600000000000001
33,1,3,Leonard Fournette,23,Flex,ACTIVE,6.960611983000001,2.9000000000000004
34,1,3,Le'Veon Bell,2,RB,ACTIVE,13.688700632000002,6.6000000000000005
35,1,3,Mark Ingram II,2,RB,ACTIVE,10.820178390000002,2.9000000000000004
36,1,3,Michael Gallup,4,WR,ACTIVE,13.205094921999999,8.0
37,1,3,Jared Cook,6,TE,ACTIVE,9.37443669,13.0
38,1,3,James White,20,Bench,ACTIVE,10.93113032,8.2
