,Week,Team,Player,Slot,Pos,Status,Proj,Actual
0,1,1,Alvin Kamara,2,RB,ACTIVE,21.168969965000002,23.900000000000002
1,1,1,Travis Kelce,6,TE,ACTIVE,16.695729236000002,11.8
2,1,1,Antonio Brown,20,Bench,ACTIVE,0.0,0.0
3,1,1,T.Y. Hilton,4,WR,ACTIVE,12.778991723,28.700000000000003
4,1,1,Brandin Cooks,4,WR,ACTIVE,14.4448739558,5.9
5,1,1,Marlon Mack,2,RB,ACTIVE,11.048374284,25.400000000000002
6,1,1,Calvin Ridley,4,WR,QUESTIONABLE,11.473387047600001,16.4
7,1,1,Derrius Guice,20,Bench,ACTIVE,12.716159191,6.8
8,1,1,Carson Wentz,0,QB,QUESTIONABLE,19.252510704000002,25.02
9,1,1,Greg Zuerlein,17,K,ACTIVE,8.850359823,14.0
10,1,1,Courtland Sutton,20,Bench,ACTIVE,10.270137750000002,19.0
11,1,1,Emmanuel Sanders,20,Bench,ACTIVE,11.967789206199997,19.6
12,1,1,Broncos D/ST,16,Def,NA,6.387916346999999,-1.0
13,1,1,Matt Breida,20,Bench,ACTIVE,10.676773924999999,3.7
14,1,1,Tyrell Williams,23,Flex,QUESTIONABLE,12.449865289,22.5
15,1,2,Saquon Barkley,2,RB,ACTIVE,23.115309344000003,17.9
16,1,2,Melvin Gordon,20,Bench,ACTIVE,0.0,0.0
17,1,2,Mike Evans,4,WR,QUESTIONABLE,15.970178675,4.800000000000001
18,1,2,Julian Edelman,4,WR,QUESTIONABLE,16.3783064643,16.380000000000003
19,1,2,Aaron Jones,2,RB,ACTIVE,12.515832916,4.9
20,1,2,Tyler Lockett,4,WR,ACTIVE,12.711331242000002,11.4
21,1,2,DJ Moore,23,Flex,QUESTIONABLE,13.0054759258,12.600000000000001
22,1,2,Baker Mayfield,0,QB,ACTIVE,16.5818363087,9.4
23,1,2,Hunter Henry,6,TE,ACTIVE,9.973743067,10.0
24,1,2,Tarik Cohen,20,Bench,ACTIVE,11.224650223000001,12.9
25,1,2,Robby Anderson,20,Bench,ACTIVE,11.4139816439,5.300000000000001
26,1,2,Will Fuller V,20,Bench,QUESTIONABLE,9.371417284000001,8.9
27,1,2,Justin Tucker,17,K,ACTIVE,9.188039148000001,11.0
28,1,2,James Washington,20,Bench,ACTIVE,9.096815221,7.1000000000000005
29,1,2,Rams D/ST,16,Def,NA,5.360821408,9.0
30,1,3,Le'Veon Bell,2,RB,ACTIVE,15.869068654000001,23.2
31,1,3,Zach Ertz,6,TE,QUESTIONABLE,13.174507136,10.4
32,1,3,Derrick Henry,20,Bench,ACTIVE,13.800856158999999,28.9
33,1,3,Sony Michel,23,Flex,ACTIVE,11.883758334,1.4000000000000001
34,1,3,Jarvis Landry,4,WR,QUESTIONABLE,11.439377167900002,11.7
35,1,3,Bears D/ST,16,Def,NA,7.452470389,11.0
36,1,3,Austin Ekeler,2,RB,ACTIVE,15.941498371,39.400000000000006
37,1,3,Harrison Butker,17,K,ACTIVE,8.55210729,17.0
38,1,3,Austin Hooper,20,Bench,ACTIVE,9.3281575482,16.7
39,1,3,Tom Brady,20,Bench,ACTIVE,18.217252347,25.64
40,1,3,Allen Robinson II,4,WR,ACTIVE,12.871781834,17.200000000000003
41,1,3,Deshaun Watson,0,QB,ACTIVE,21.472903705999997,30.72
42,1,3,Drew Brees,20,Bench,ACTIVE,18.527284889700002,20.8
43,1,3,Tyreek Hill,4,WR,ACTIVE,17.293652672799997,4.1
44,1,3,James White,20,Bench,ACTIVE,13.946106435,13.2
45,1,4,DeAndre Hopkins,4,WR,QUESTIONABLE,19.708130214,31.1
46,1,4,Ezekiel Elliott,2,RB,ACTIVE,21.358941569,13.3
47,1,4,Keenan Allen,4,WR,ACTIVE,15.9350595261,26.3
48,1,4,Dalvin Cook,2,RB,ACTIVE,16.58289751,26.0
49,1,4,Kenny Golladay,4,WR,ACTIVE,13.994063941699999,14.2
50,1,4,O.J. Howard,6,TE,ACTIVE,10.321463142,5.2
51,1,4,A.J. Green,20,Bench,QUESTIONABLE,0.0,0.0
52,1,4,Josh Gordon,20,Bench,OUT,12.702891195,16.3
53,1,4,Russell Wilson,0,QB,ACTIVE,18.188465750000002,16.6
54,1,4,Tevin Coleman,20,Bench,ACTIVE,11.655203211,7.600000000000001
55,1,4,Jared Goff,20,Bench,ACTIVE,17.2441300371,9.440000000000001
56,1,4,Stephen Gostkowski,17,K,QUESTIONABLE,8.335949909,16.0
57,1,4,Keke Coutee,20,Bench,ACTIVE,7.415387510400001,0.0
58,1,4,Leonard Fournette,23,Flex,QUESTIONABLE,17.448394424,11.400000000000002
59,1,4,Saints D/ST,16,Def,NA,6.791116378,4.0
60,1,5,James Conner,2,RB,QUESTIONABLE,15.23473426,10.5
61,1,5,Julio Jones,4,WR,ACTIVE,16.8534972319,15.1
62,1,5,Adam Thielen,4,WR,ACTIVE,15.272118359199998,13.3
63,1,5,Josh Jacobs,23,Flex,QUESTIONABLE,15.641104302,24.3
64,1,5,Robert Woods,4,WR,ACTIVE,13.400926861099999,16.6
65,1,5,Mark Ingram II,2,RB,ACTIVE,14.348674559999997,22.700000000000003
66,1,5,Mike Williams,20,Bench,ACTIVE,12.6707992318,4.9
67,1,5,Evan Engram,6,TE,QUESTIONABLE,11.9676820396,28.6
